Subzona,NDVI_mean_filtered,n_filtered,year,month,sample,NDVI_mean_filtered_norm
Bosques_con_muerdago_2,0.5445753489771197,3267,2021,10,3,0.7722876744885598
Bosques_con_muerdago_3,0.6163987279269193,32878,2021,10,3,0.8081993639634597
Bosques_densos_pino_oyamel,0.6669531121904566,29772,2021,10,3,0.8334765560952283
Mariposa_monarca,,554,2021,10,3,
Parque_venados,,60,2021,10,3,
Toluca,0.6982522277476526,15827,2021,10,3,0.8491261138738263
Bosques_con_muerdago_2,0.6685981278570691,3237,2021,11,2,0.8342990639285346
Bosques_con_muerdago_3,0.6869028681204405,32859,2021,11,2,0.8434514340602203
Bosques_densos_pino_oyamel,0.677283415010132,29755,2021,11,2,0.8386417075050661
Mariposa_monarca,0.8196987671156725,543,2021,11,2,0.9098493835578363
Parque_venados,0.5092149783785527,60,2021,11,2,0.7546074891892763
Toluca,0.6920880148048405,15769,2021,11,2,0.8460440074024203
Bosques_con_muerdago_2,0.52219734547471,3237,2021,12,2,0.761098672737355
Bosques_con_muerdago_3,0.5984831464491585,32904,2021,12,2,0.7992415732245792
Bosques_densos_pino_oyamel,0.5633271649226961,29787,2021,12,2,0.781663582461348
Mariposa_monarca,0.7510210524286542,540,2021,12,2,0.8755105262143271
Parque_venados,0.3552668418448705,60,2021,12,2,0.6776334209224353
Toluca,0.5690511510250772,15791,2021,12,2,0.7845255755125387
Bosques_con_muerdago_2,0.5880190707634642,3257,2022,1,3,0.794009535381732
Bosques_con_muerdago_3,0.5892111687529209,32905,2022,1,3,0.7946055843764604
Bosques_densos_pino_oyamel,0.548302544621458,29796,2022,1,3,0.774151272310729
Mariposa_monarca,0.8296672894936822,549,2022,1,3,0.914833644746841
Parque_venados,0.2904146110209135,60,2022,1,3,0.6452073055104568
Toluca,0.5725135817165319,15921,2022,1,3,0.7862567908582659
Bosques_con_muerdago_2,0.3370452433720296,3266,2022,2,1,0.6685226216860148
Bosques_con_muerdago_3,0.5010575026249261,32904,2022,2,1,0.750528751312463
Bosques_densos_pino_oyamel,0.5078464959134822,29791,2022,2,1,0.753923247956741
Mariposa_monarca,0.44550276257224003,554,2022,2,1,0.72275138128612
Parque_venados,0.32399584037753254,60,2022,2,1,0.6619979201887662
Toluca,0.39143604593338716,15937,2022,2,1,0.6957180229666936
Bosques_con_muerdago_2,0.3826719213371413,3259,2022,3,3,0.6913359606685706
Bosques_con_muerdago_3,0.49819146630807015,32905,2022,3,3,0.7490957331540351
Bosques_densos_pino_oyamel,0.4184200309101924,29796,2022,3,3,0.7092100154550962
Mariposa_monarca,0.5605789510350059,554,2022,3,3,0.7802894755175029
Parque_venados,0.2359495557406369,59,2022,3,3,0.6179747778703184
Toluca,0.41529787215980285,15960,2022,3,3,0.7076489360799014
Bosques_con_muerdago_2,0.508995923374437,3256,2022,4,1,0.7544979616872185
Bosques_con_muerdago_3,0.5230487919547083,32904,2022,4,1,0.7615243959773541
Bosques_densos_pino_oyamel,0.5361905137018255,29796,2022,4,1,0.7680952568509127
Mariposa_monarca,0.7359657526458571,554,2022,4,1,0.8679828763229285
Parque_venados,0.30125277357942915,59,2022,4,1,0.6506263867897146
Toluca,0.5080491207507958,15951,2022,4,1,0.7540245603753979
Bosques_con_muerdago_2,0.5391741912975822,3237,2022,5,2,0.7695870956487911
Bosques_con_muerdago_3,0.5461523549284208,32902,2022,5,2,0.7730761774642104
Bosques_densos_pino_oyamel,0.5523503013183483,29793,2022,5,2,0.7761751506591741
Mariposa_monarca,0.7187627700727377,551,2022,5,2,0.8593813850363689
Parque_venados,0.3834073236759971,59,2022,5,2,0.6917036618379986
Toluca,0.609540634475959,15872,2022,5,2,0.8047703172379794
Bosques_con_muerdago_2,0.4544968728672503,3255,2022,6,2,0.7272484364336251
Bosques_con_muerdago_3,0.3493420876375308,32896,2022,6,2,0.6746710438187654
Bosques_densos_pino_oyamel,0.34715523259544084,29777,2022,6,2,0.6735776162977204
Mariposa_monarca,0.647762138602788,548,2022,6,2,0.823881069301394
Parque_venados,,60,2022,6,2,
Toluca,0.5184228812693746,15950,2022,6,2,0.7592114406346873
Bosques_con_muerdago_2,0.43192351886500696,3267,2022,7,2,0.7159617594325035
Bosques_con_muerdago_3,0.5931461009549147,32854,2022,7,2,0.7965730504774573
Bosques_densos_pino_oyamel,0.6102836791825631,29790,2022,7,2,0.8051418395912815
Mariposa_monarca,,554,2022,7,2,
Parque_venados,,60,2022,7,2,
Toluca,0.665892599011519,15891,2022,7,2,0.8329462995057595
Bosques_con_muerdago_2,0.4057728814759083,3262,2022,8,2,0.7028864407379541
Bosques_con_muerdago_3,0.517152647808097,32901,2022,8,2,0.7585763239040485
Bosques_densos_pino_oyamel,0.5329665474025849,29788,2022,8,2,0.7664832737012924
Mariposa_monarca,,554,2022,8,2,
Parque_venados,,60,2022,8,2,
Toluca,0.5704982729770011,15928,2022,8,2,0.7852491364885006
Bosques_con_muerdago_2,0.6262723017793841,3167,2022,9,1,0.813136150889692
Bosques_con_muerdago_3,0.4589761023263892,32900,2022,9,1,0.7294880511631946
Bosques_densos_pino_oyamel,0.5982895494465877,29664,2022,9,1,0.7991447747232938
Mariposa_monarca,-0.041260211218765636,539,2022,9,1,0.47936989439061717
Parque_venados,,60,2022,9,1,
Toluca,0.6871083774199827,15776,2022,9,1,0.8435541887099913
Bosques_con_muerdago_2,0.6315511549005703,3252,2022,10,3,0.8157755774502852
Bosques_con_muerdago_3,0.5582974995022114,32902,2022,10,3,0.7791487497511057
Bosques_densos_pino_oyamel,0.6068793852857891,29760,2022,10,3,0.8034396926428946
Mariposa_monarca,,554,2022,10,3,
Parque_venados,,60,2022,10,3,
Toluca,0.6653939359320029,15833,2022,10,3,0.8326969679660015
